rolling,TagID,AnchorIdx,IQ,sync_time,reply_time
10679,54883,0,(3789-5019j),1828718601,2467694581
10679,54883,1,(4065-4974j),1956513972,2595489990
10680,54883,0,(-1740-4000j),728639376,1367615358
10680,54883,1,(-3348-692j),856435007,1495411029
10681,54883,0,(-1939+1123j),3923527436,267536120
10681,54883,1,(750+1828j),4051322816,395331545
10684,54883,0,(-2021-1728j),623289759,1262265729
10684,54883,1,(3561+3599j),751085390,1390061410
10686,54883,0,(-820-2881j),2718098573,3357074567
10686,54883,1,(-73-2124j),2845894213,289981923
10682,54883,0,(-1109+3715j),2823448200,3462424187
10682,54883,1,(1355-2345j),2951243848,3590219870
10687,54883,0,(-2857+4051j),1618019359,2256995337
10687,54883,1,(-4784-4896j),1745814737,2384790754
10693,54883,0,(2610-2223j),3607478589,4246454545
10693,54883,1,(-2479-3324j),3735273949,79282697
10696,54883,0,(2058+3859j),307240898,946216883
10696,54883,1,(5627-2508j),435036041,1074012067
10699,54883,0,(1115-4242j),1301970517,1940946502
10699,54883,1,(929-5258j),1429765916,2068741940
10705,54883,0,(-1099-3201j),3291429749,3930405717
10705,54883,1,(-4530+4693j),3419225162,4058201178
10711,54883,0,(-4109+871j),985921682,1624897658
10711,54883,1,(-1340+2648j),1113717122,1752693147
10694,54883,0,(-2089+4737j),2507399363,3146375331
10694,54883,1,(-2581-3481j),2635194980,3274171025
10700,54883,0,(-1564+6697j),201891293,840867272
10700,54883,1,(3735+1110j),329686432,968662460
10706,54883,0,(-467+5719j),2191350528,2830326494
10706,54883,1,(-4989-1321j),2319145666,2958121690
10685,54883,0,(2180+5530j),3818177810,162186495
10685,54883,1,(4610-3695j),3945973200,289981923
10691,54883,0,(3413+1529j),1512669743,2151645713
10691,54883,1,(-2766+4010j),1640465105,2279441132
10703,54883,0,(-2632-2988j),1196620915,1835596883
10703,54883,1,(2348-2121j),1324416311,1963392343
10683,54883,0,(5417-869j),1723368983,2362344957
10683,54883,1,(-4856+2895j),1851164351,2490140373
10702,54883,0,(2171+5907j),2296700125,2935676107
10702,54883,1,(-2459-1854j),2424495267,3063471303
10692,54883,0,(-5591-155j),412590525,1051566493
10692,54883,1,(-3106-3329j),540386145,1179362173
10698,54883,0,(944+3393j),2402049734,3041025726
10698,54883,1,(-4874+1350j),2529844884,3168820900
10709,54883,0,(-1007-2340j),3186080140,3825056109
10709,54883,1,(-5927+308j),3313875556,3952851581
10715,54883,0,(-7+3236j),880572075,1519548037
10715,54883,1,(4181+3078j),1008367513,1647343546
10704,54883,0,(3419+3829j),96541687,735517657
10704,54883,1,(2405+3328j),224336833,863312862
10708,54883,0,(-1789+3578j),4286159378,630168053
10708,54883,1,(-3013-2207j),118987220,757963263
10710,54883,0,(2286+1733j),2086000910,2724976888
10710,54883,1,(-1648+1873j),2213796073,2852772112
10714,54883,0,(-173-6144j),1980651303,2619627279
10714,54883,1,(-17-3592j),2108446485,2747422507
10720,54883,0,(3309+2490j),3970110533,314119219
10720,54883,1,(4079-3476j),4097905731,441914463
10689,54883,0,(-4386-1681j),3712828198,56836877
10689,54883,1,(3919+3197j),3840623577,184632292
10701,54883,0,(567-4261j),3396779360,4035755336
10701,54883,1,(-2462+3962j),3524574747,4163550779
10721,54883,0,(2684+254j),2870031312,3509007286
10721,54883,1,(-563+2676j),2997826751,3636802778
10712,54883,0,(3406-5004j),4180809754,524818443
10712,54883,1,(-1973+3008j),13637645,652613669
10716,54883,0,(-4030-4571j),4075460151,419468826
10716,54883,1,(-2628+2123j),4203255332,547264068
10707,54883,0,(1452-2528j),1091271301,1730247276
10707,54883,1,(-4338-4089j),1219066707,1858042742
10727,54883,0,(-590+3334j),564523207,1203499179
10727,54883,1,(-2219-3252j),692318685,1331294712
10722,54883,0,(3477-677j),1769952071,2408928053
10722,54883,1,(-531-4573j),1897747281,2536723304
10713,54883,0,(-1717+3444j),3080730539,3719706515
10713,54883,1,(-5904-2419j),3208525958,3847501980
10733,54883,0,(-4070-1353j),2553982418,3192958401
10733,54883,1,(-1819-4236j),2681777900,3320753924
10739,54883,0,(-2470-1165j),248474320,887450294
10739,54883,1,(-2363+2290j),376269809,1015245834
10717,54883,0,(2107+1990j),2975380923,3614356895
10717,54883,1,(-309-5051j),3103176354,3742152396
10718,54883,0,(-1994-3803j),1875301693,2514277662
10718,54883,1,(2917+2689j),2003096885,2642072917
10724,54883,0,(2785+2012j),3864760903,208769579
10724,54883,1,(1581-3720j),3992556117,336564850
10728,54883,0,(3113+2270j),3759411261,103419949
10728,54883,1,(-2238+2743j),3887206497,231215227
10734,54883,0,(-6332-2229j),1453903185,2092879164
10734,54883,1,(-3171-3368j),1581698406,2220674442
10732,54883,0,(3882-5149j),3654061647,4293037629
10732,54883,1,(1484-2558j),3781856872,125865608
10719,54883,0,(-1751+2269j),775222468,1414198439
10719,54883,1,(-3332-1439j),903017915,1541993935
10745,54883,0,(-700-3797j),2237933529,2876909513
10745,54883,1,(-1288-1572j),2365729033,3004705054
10740,54883,0,(-1570+2099j),3443362386,4082338373
10740,54883,1,(2056+2624j),3571157608,4210133640
10738,54883,0,(-2621-981j),1348553556,1987529533
10738,54883,1,(-2454+1442j),1476348776,2115324806
10723,54883,0,(2949-272j),669872839,1308848815
10723,54883,1,(690+5689j),797668312,1436644331
10751,54883,0,(19+3871j),4227392803,571401483
10751,54883,1,(-6416-3144j),60220952,699196975
10729,54883,0,(1270-2041j),2659332040,3298308021
10729,54883,1,(-413+4149j),2787127513,3426103557
10735,54883,0,(-3997-1136j),353823956,992799933
10735,54883,1,(1268+147j),481619432,1120595470
10725,54883,0,(-225+2988j),2764681663,3403657655
10725,54883,1,(-3974+3314j),2892477145,3531453162
10741,54883,0,(65+2738j),2343283164,2982259138
10741,54883,1,(2531-2510j),2471078637,3110054659
10736,54883,0,(-6911-323j),3548712019,4187687998
10736,54883,1,(-3301-1169j),3676507234,20515978
10744,54883,0,(-959+5722j),3338012756,3976988735
10744,54883,1,(-3388+3500j),3465807999,4104784024
10731,54883,0,(1003+2914j),459173573,1098149559
10731,54883,1,(4327-936j),586969061,1225945097
10737,54883,0,(-4379-569j),2448632794,3087608767
10737,54883,1,(-4197-143j),2576428259,3215404297
10750,54883,0,(-3795+5799j),1032504717,1671480707
10750,54883,1,(-3054-2177j),1160299926,1799275962
10746,54883,0,(4288+2500j),1137854315,1776830287
10746,54883,1,(2820+2487j),1265649550,1904625573
10757,54883,0,(1430+6031j),1921884748,2560860742
10757,54883,1,(4982+4j),2049680059,2688656093
10748,54883,0,(2811+1908j),3232663173,3871639135
10748,54883,1,(1078+2529j),3360458376,3999434403
10754,54883,0,(3112-2746j),927155127,1566131112
10754,54883,1,(1585+2054j),1054950232,1693926239
10760,54883,0,(-1525-1201j),2916614421,3555590406
10760,54883,1,(6042+271j),3044409939,3683385955
10747,54883,0,(747+3541j),37775092,676751062
10747,54883,1,(-3888-3618j),165570575,804546590
10743,54883,0,(-4071-1676j),143124702,782100678
10743,54883,1,(2136-1727j),270920192,909896220
10752,54883,0,(-2772+6219j),3127313582,3766289550
10752,54883,1,(-2570+4074j),3255108747,3894084765
10753,54883,0,(-2837-1418j),2027234358,2666210338
10753,54883,1,(-4204-635j),2155029737,2794005768
10759,54883,0,(-1891+1958j),4016693635,360702313
10759,54883,1,(4725+915j),4144488910,488497633
10765,54883,0,(-2355+1757j),1711185619,2350161584
10765,54883,1,(-2244+3187j),1838980873,2477956892
10771,54883,0,(4148-3966j),3700644812,44653510
10771,54883,1,(1233-4625j),3828440103,172448844
10777,54883,0,(-5108+823j),1395136813,2034112789
10777,54883,1,(-3063-1949j),1522932122,2161908152
10756,54883,0,(1226-2798j),3021963976,3660939960
10756,54883,1,(-3450-1062j),3149759550,3788735574
10749,54883,0,(-395-2692j),2132583950,2771559924
10749,54883,1,(-1744-4915j),2260379409,2899355447
10762,54883,0,(-1518-3000j),716455990,1355431958
10762,54883,1,(-1977-2222j),844251487,1483227527
10768,54883,0,(1409-5448j),2705915205,3344891196
10768,54883,1,(-15110-17674j),2833710734,3472686749
10755,54883,0,(2884+1029j),4122043196,466051888
10755,54883,1,(-3576-3540j),4249838527,593847256
10761,54883,0,(4926+2193j),1816535192,2455511177
10761,54883,1,(1697-2577j),1944330463,2583306493
10758,54883,0,(-1902+2900j),821805547,1460781527
10758,54883,1,(-683-2682j),949601082,1588577116
10764,54883,0,(2024-2147j),2811264830,3450240818
10764,54883,1,(-520+2901j),2939060349,3578036378
10774,54883,0,(-491+4444j),400407168,1039383166
10774,54883,1,(-1790+1852j),528202727,1167178769
10780,54883,0,(-1370+1490j),2389866386,3028842375
10780,54883,1,(918+2716j),2517661954,3156637983
10763,54883,0,(-1425-3053j),3911344062,255352741
10763,54883,1,(-3367-1892j),4039139308,383148051
10769,54883,0,(-630-2841j),1605835991,2244811958
10769,54883,1,(2392+1970j),1733631254,2372607284
10786,54883,0,(1831+1727j),84358278,723334250
10786,54883,1,(-3488-1375j),212153830,851129855
10770,54883,0,(-2523+676j),505756758,1144732726
10770,54883,1,(2262+3429j),633552279,1272528319
10767,54883,0,(6175+156j),3805994451,150003130
10767,54883,1,(3352+3124j),3933789707,277798437
10776,54883,0,(-3685-131j),2495216055,3134192017
10776,54883,1,(886-5278j),2623011608,3261987627
10792,54883,0,(-2041-3338j),2073817415,2712793407
10792,54883,1,(2599-469j),2201613062,2840589083
10783,54883,0,(-2624+880j),3384595983,4023571965
