rolling,AnchorId,TagID,TOA,POA_SYNC,POA_REPLY
27742,31699,17839,49810,140,61
27742,31699,2812,6162,88,89
27742,2259,17839,49779,73,35
27742,2259,2812,6160,123,127
27742,23339,17839,49808,238,162
27742,23339,2812,6137,232,230
27742,2812,17839,49801,96,61
27743,2259,17839,64460,76,234
27743,31699,17839,64487,124,64
27743,31699,2812,3603,92,91
27743,23339,17839,64495,199,115
27743,23339,2812,3573,231,233
27743,2812,17839,64465,141,48
27744,31699,17839,4941,100,45
27744,31699,2812,9746,89,98
27744,23339,17839,4931,217,142
27744,23339,2812,9722,229,8
27744,2259,17839,4913,42,250
27744,2259,2812,9745,117,136
27744,2812,17839,4931,83,13
27745,31699,17839,10929,95,65
27745,31699,2812,15892,92,92
27745,2259,17839,10901,44,223
27745,2259,2812,15888,129,130
27745,23339,17839,10944,171,106
27745,23339,2812,15862,205,16
27745,2812,17839,10921,78,32
27746,31699,17839,16919,100,19
27746,31699,2812,22033,86,86
27746,23339,17839,16906,221,120
27746,23339,2812,22008,8,17
27746,2259,17839,16889,38,197
27746,2259,2812,22040,122,141
27746,2812,17839,16904,79,247
27747,31699,17839,22913,67,43
27747,31699,2812,28179,88,89
27747,2259,17839,22877,41,221
27747,2259,2812,28176,129,140
27747,23339,17839,22904,174,110
27747,23339,2812,28149,15,10
27747,2812,17839,22889,67,23
27748,31699,17839,28890,88,14
27748,31699,2812,33810,87,88
27748,23339,17839,28878,207,136
27748,23339,2812,33780,10,7
27748,2259,17839,28860,27,205
27748,2259,2812,33808,142,138
27748,2812,17839,28867,65,244
27749,31699,17839,34889,55,4
27749,31699,2812,39953,88,88
27749,2259,17839,34859,18,213
27749,2259,2812,39952,125,128
27749,23339,17839,34869,164,124
27749,23339,2812,39932,6,10
27749,2812,17839,34864,49,25
27750,31699,17839,40858,115,63
27750,31699,2812,46101,88,87
27750,23339,17839,40867,217,136
27750,23339,2812,46076,5,8
27750,2259,17839,40837,39,246
27750,2259,2812,46097,124,122
27750,2812,17839,40856,81,31
27751,31699,17839,46861,143,75
27751,31699,2812,51729,85,87
27751,2259,17839,46822,80,37
27751,2259,2812,51729,141,143
27751,23339,17839,46854,230,194
27751,23339,2812,51701,14,16
27751,2812,17839,46832,116,90
27752,31699,17839,52831,160,46
27752,31699,2812,57880,84,87
27752,2259,17839,52807,56,233
27752,2259,2812,57877,134,140
27752,23339,17839,52850,213,122
27752,23339,2812,57853,3,18
27752,2812,17839,52819,139,24
27753,31699,17839,58836,82,249
27753,31699,2812,64018,88,89
27753,2259,17839,58792,53,213
27753,2259,2812,64020,125,119
27753,23339,17839,58823,196,83
27753,23339,2812,63986,7,19
27753,2812,17839,58809,60,21
27754,31699,17839,64809,34,196
27754,31699,2812,4630,88,87
27754,23339,17839,64810,166,8
27754,23339,2812,4606,12,253
27754,2259,17839,64785,245,125
27754,2259,2812,4635,125,121
27754,2812,17839,64790,64,168
27755,31699,17839,5774,246,174
27755,31699,2812,10266,91,85
27755,2259,17839,5750,172,119
27755,2259,2812,10259,142,136
27755,23339,17839,5760,88,28
27755,23339,2812,10239,12,17
27755,2812,17839,5769,198,137
27756,31699,17839,11774,225,172
27756,31699,2812,16407,91,85
27756,23339,17839,11766,22,11
27756,23339,2812,16375,8,3
27756,2259,17839,11733,170,92
27756,2259,2812,16401,137,137
27756,2812,17839,11742,202,152
27758,31699,17839,23752,166,80
27758,31699,2812,28694,85,90
27758,2259,17839,23718,110,41
27758,2259,2812,28689,133,130
27758,23339,17839,23752,255,173
27758,23339,2812,28659,11,15
27758,2812,17839,23723,130,100
27757,31699,17839,17750,204,132
27757,31699,2812,22546,86,88
27757,2259,17839,17727,129,45
27757,2259,2812,22548,131,131
27757,23339,17839,17764,3,226
27757,23339,2812,22518,17,16
27757,2812,17839,17750,181,81
27759,31699,17839,29720,189,144
27759,31699,2812,34836,87,86
27759,2259,17839,29697,114,53
27759,2259,2812,34833,150,137
27759,23339,17839,29730,245,233
27759,23339,2812,34814,16,250
