rolling,AnchorId,TagID,Distance,RXL,FPL
277,17839,2812,289,67,74
277,2812,17839,289,65,75
276,17839,2812,292,68,75
276,2812,17839,291,67,75
274,17839,2812,294,68,76
274,2812,17839,292,65,75
283,17839,2812,289,68,74
283,2812,17839,287,67,74
289,17839,2812,289,67,75
289,2812,17839,291,65,75
295,17839,2812,288,67,74
295,2812,17839,289,65,74
301,17839,2812,289,67,73
301,2812,17839,289,65,74
307,17839,2812,289,68,75
307,2812,17839,290,67,75
313,17839,2812,292,68,74
313,2812,17839,290,67,75
319,17839,2812,291,68,74
319,2812,17839,288,65,74
325,17839,2812,287,68,75
325,2812,17839,289,65,76
331,17839,2812,290,67,74
331,2812,17839,290,67,74
337,17839,2812,286,68,75
337,2812,17839,292,65,75
343,17839,2812,292,67,74
343,2812,17839,288,65,75
349,17839,2812,289,68,75
349,2812,17839,292,67,74
282,17839,2812,291,67,74
282,2812,17839,290,65,75
288,17839,2812,291,68,74
288,2812,17839,289,65,74
294,17839,2812,288,68,75
294,2812,17839,289,65,75
300,17839,2812,287,68,75
300,2812,17839,290,65,76
306,17839,2812,285,67,74
306,2812,17839,290,65,75
312,17839,2812,287,67,74
312,2812,17839,287,65,75
318,17839,2812,286,68,74
318,2812,17839,291,65,76
324,17839,2812,290,68,75
324,2812,17839,290,65,74
330,17839,2812,292,67,74
330,2812,17839,288,65,75
336,17839,2812,289,68,75
336,2812,17839,291,65,74
342,17839,2812,287,68,75
342,2812,17839,289,65,75
348,17839,2812,290,67,74
348,2812,17839,287,65,74
354,17839,2812,288,68,75
354,2812,17839,289,65,74
355,17839,2812,289,67,75
355,2812,17839,292,65,75
280,17839,2812,289,67,74
280,2812,17839,291,70,79
286,17839,2812,289,68,75
286,2812,17839,291,65,74
292,17839,2812,289,68,74
292,2812,17839,288,65,76
298,17839,2812,290,67,74
298,2812,17839,287,65,74
304,17839,2812,293,67,74
304,2812,17839,285,67,75
310,17839,2812,294,68,74
310,2812,17839,287,67,74
316,17839,2812,291,67,74
316,2812,17839,286,67,74
322,17839,2812,290,67,74
322,2812,17839,290,67,75
328,17839,2812,290,68,75
328,2812,17839,292,67,75
334,17839,2812,289,67,73
334,2812,17839,289,65,74
340,17839,2812,290,68,74
340,2812,17839,287,65,74
346,17839,2812,287,68,75
346,2812,17839,290,65,76
352,17839,2812,291,67,74
352,2812,17839,288,67,75
278,17839,2812,291,68,74
278,2812,17839,289,67,74
273,17839,2812,288,67,73
273,2812,17839,288,65,74
284,17839,2812,290,68,75
284,2812,17839,289,67,75
279,17839,2812,289,68,74
279,2812,17839,290,65,75
290,17839,2812,289,68,75
290,2812,17839,289,67,75
285,17839,2812,287,67,74
285,2812,17839,289,65,74
296,17839,2812,289,68,74
296,2812,17839,290,65,74
291,17839,2812,291,68,74
291,2812,17839,290,67,75
302,17839,2812,290,68,76
302,2812,17839,293,65,75
308,17839,2812,290,68,75
308,2812,17839,294,65,75
297,17839,2812,289,68,75
297,2812,17839,291,65,76
314,17839,2812,287,68,75
314,2812,17839,291,67,75
303,17839,2812,289,67,74
303,2812,17839,290,65,75
309,17839,2812,290,67,74
309,2812,17839,289,65,75
320,17839,2812,291,68,74
320,2812,17839,290,65,75
315,17839,2812,290,67,74
315,2812,17839,285,65,76
326,17839,2812,290,68,74
326,2812,17839,290,65,75
321,17839,2812,288,68,75
321,2812,17839,292,67,75
327,17839,2812,289,67,73
327,2812,17839,290,65,74
358,17839,2812,289,68,74
358,2812,17839,289,65,74
332,17839,2812,288,68,76
332,2812,17839,289,65,75
333,17839,2812,290,68,74
333,2812,17839,292,67,75
338,17839,2812,291,68,74
338,2812,17839,290,65,76
339,17839,2812,292,67,74
339,2812,17839,287,65,74
345,17839,2812,288,68,75
345,2812,17839,290,65,75
344,17839,2812,289,68,74
344,2812,17839,287,67,75
351,17839,2812,292,67,74
351,2812,17839,289,65,75
350,17839,2812,287,68,76
350,2812,17839,291,65,75
356,17839,2812,289,68,74
356,2812,17839,289,67,76
357,17839,2812,292,67,74
357,2812,17839,287,65,75
360,17839,2812,289,68,75
360,2812,17839,289,65,75
361,17839,2812,291,68,76
361,2812,17839,293,65,75
275,17839,2812,288,68,74
275,2812,17839,289,65,74
281,17839,2812,290,68,75
281,2812,17839,289,65,74
287,17839,2812,289,68,75
287,2812,17839,289,65,76
293,17839,2812,290,67,74
293,2812,17839,288,67,75
299,17839,2812,291,68,75
299,2812,17839,289,65,74
305,17839,2812,290,68,76
305,2812,17839,289,67,75
311,17839,2812,289,68,76
311,2812,17839,292,65,75
317,17839,2812,285,68,74
